"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"CC0805MRX7R8BB104","Yageo","311-4348-1-ND","C3 C6 C8 C12 C15 C17 C24 C30","","Cut Tape (CT)","Active","8","0.16000","$1.28","764","20 Weeks","CAP CER 0.1UF 25V X7R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CC0805MKX7R8BB475","Yageo","311-3509-2-ND","C4 C7 C9 C10 C13 C16 C19 C22 C25 C28 C31","","Tape & Reel (TR)","Active","11","0.00000","$0.00","9539","24 Weeks","CAP CER 4.7UF 25V X7R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CC0805KKX5R8BB106","Yageo","311-1869-1-ND","C1 C5 C11 C14 C23 C29","","Cut Tape (CT)","Active","6","0.72000","$4.32","618478","52 Weeks","CAP CER 10UF 25V X5R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CC0805MKX5R5BB226","Yageo","311-1464-1-ND","C2","","Cut Tape (CT)","Active","1","0.77000","$0.77","151111","24 Weeks","CAP CER 22UF 6.3V X5R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"NSVRB521S30T1G","ON Semiconductor","NSVRB521S30T1GOSCT-ND","D1","","Cut Tape (CT)","Active","1","0.54000","$0.54","0","46 Weeks","DIODE SCHOTTKY 30V 200MA SOD523","ROHS3 Compliant","Lead free","REACH Unaffected"
"694106301002","Würth Elektronik","732-5930-ND","J1","","Bulk","Active","1","1.30000","$1.30","356","10 Weeks","CONN PWR JACK 2.1X5.5MM SOLDER","ROHS3 Compliant","Lead free","REACH Unaffected"
"PS1240P02BT","TDK Corporation","445-2525-1-ND","LS1","","Cut Tape (CT)","Active","1","0.88000","$0.88","25024","8 Weeks","AUDIO PIEZO TRANSDUCER 30V TH","ROHS3 Compliant","Lead free","Not Available"
"RC0805JR-07470RL","Yageo","311-470ARCT-ND","R29","","Cut Tape (CT)","Active","1","0.14000","$0.14","663861","20 Weeks","RES SMD 470 OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RT0805FRE074K7L","Yageo","YAG3364CT-ND","R26 R27 R28","","Cut Tape (CT)","Active","3","0.14000","$0.42","12032","20 Weeks","RES SMD 4.7K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"AC0805FR-0724KL","Yageo","13-AC0805FR-0724KLCT-ND","R20","","Cut Tape (CT)","Active","1","0.14000","$0.14","2490","20 Weeks","RES SMD 24K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RT0805FRE0775KL","Yageo","13-RT0805FRE0775KLCT-ND","R18","","Cut Tape (CT)","Active","1","0.14000","$0.14","3596","20 Weeks","RES SMD 75K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0805FG100K","Stackpole Electronics Inc","RMCF0805FG100KCT-ND","R2 R3 R4 R5 R6 R7 R8 R9 R10 R11","","Cut Tape (CT)","Active","10","0.03800","$0.38","29256","21 Weeks","RES 100K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0805FG100K","Stackpole Electronics Inc","RMCF0805FG100KCT-ND","R17 R19","","Cut Tape (CT)","Active","2","0.03800","$0.38","29256","21 Weeks","RES 100K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-075K1L","Yageo","311-5.10KCRCT-ND","R1","","Cut Tape (CT)","Active","1","0.14000","$0.14","1557587","20 Weeks","RES SMD 5.1K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC0805FR-07910KL","Yageo","YAG3336CT-ND","R12 R13 R14 R15 R16 R21 R22 R23 R24 R25","","Cut Tape (CT)","Active","10","0.05800","$0.58","1287","20 Weeks","RES SMD 910K OHM 1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"MPM3606AGQV-P","Monolithic Power Systems Inc.","1589-1247-1-ND","U7","","Cut Tape (CT)","Active","1","4.18000","$4.18","1870","16 Weeks","DC DC CONVERTER 0.8-18.48V","ROHS3 Compliant","Lead free","REACH Unaffected"
"MPU-6050","TDK InvenSense","1428-1007-1-ND","U13","","Cut Tape (CT)","Not For New Designs","1","10.92000","$10.92","5786","22 Weeks","IMU ACCEL/GYRO 3-AXIS I2C 24QFN","ROHS3 Compliant","Lead free","Not Available"
"62674-241121ALF","Amphenol ICC (FCI)","609-1210-1-ND","U2 U3 U4 U5 U6 U8 U9 U10 U11 U12","","Cut Tape (CT)","Active","10","0.99500","$9.95","0","17 Weeks","CONN FFC VERT 24POS 0.50MM SMD","RoHS Compliant","Lead free","REACH Unaffected"
"3857","Adafruit Industries LLC","1528-2648-ND","U1","","Bulk","Active","1","31.18000","$31.18","284","2 Weeks","FEATHER M4 EXPRESS ATSAMD51J19","ROHS3 Compliant","Not Available","Not Available"